class,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
magmatic,22.58,58.69,142.43,0.39,10.47,27.14,74.15,0.26,0.88,135.0,37.07,299.0,348.29
magmatic,45.28,148.25,276.35,1.34,33.07,58.15,112.38,1.64,3.97,316.0,66.12,431.0,571.52
magmatic,48.06,105.97,261.76,0.96,30.84,54.34,103.09,0.97,3.09,363.0,60.34,468.0,543.67
magmatic,94.4,244.83,437.02,3.03,57.62,95.24,162.64,3.45,8.54,503.0,95.56,598.0,880.72
magmatic,12.91,17.12,53.14,0.16,3.02,9.77,30.03,0.08,0.46,44.0,14.36,120.0,139.43
magmatic,18.93,66.83,125.57,0.49,11.84,25.27,65.62,0.48,1.19,106.0,32.22,194.0,309.69
magmatic,23.41,55.45,125.17,0.34,10.98,24.24,60.87,0.28,0.92,117.0,31.82,234.0,304.82
magmatic,24.36,41.03,125.86,0.37,8.68,23.83,66.22,0.21,0.99,113.0,32.28,242.0,321.63
magmatic,25.88,155.44,200.13,1.08,21.93,39.83,84.84,1.25,2.97,172.0,48.02,249.0,431.33
magmatic,40.91,164.7,265.45,2.15,32.36,57.94,126.13,1.83,4.0,230.0,66.41,268.0,628.45
magmatic,31.27,55.99,154.71,0.33,10.08,27.37,79.52,0.3,1.07,149.0,38.7,314.0,377.41
magmatic,34.51,145.95,250.25,3.34,38.57,54.85,111.52,3.33,6.59,289.0,58.5,323.0,541.52
magmatic,28.95,64.58,150.69,0.4,10.47,29.99,75.43,0.22,0.93,157.0,37.86,345.0,373.99
magmatic,35.5,72.76,186.92,0.43,13.31,34.04,96.98,0.28,1.11,165.0,46.68,355.0,471.98
magmatic,40.37,86.8,199.81,0.49,14.04,39.31,99.32,0.46,1.62,202.0,50.26,403.0,480.38
magmatic,40.42,90.39,195.6,0.47,13.7,36.66,96.08,0.36,1.07,193.0,48.46,409.0,478.12
magmatic,42.58,104.69,249.98,1.01,28.28,50.67,101.52,0.89,3.1,306.0,56.94,418.0,523.27
magmatic,52.72,153.48,292.89,1.31,32.41,61.23,116.14,1.49,4.14,382.0,67.81,458.0,605.36
magmatic,43.06,84.8,167.94,0.57,14.1,33.81,78.71,0.46,1.23,340.0,41.16,489.0,390.94
magmatic,51.2,91.85,178.59,0.49,15.22,35.42,77.78,0.49,1.65,354.0,42.93,511.0,386.34
magmatic,56.81,105.18,222.3,0.54,17.97,43.95,106.54,0.48,1.94,463.0,54.23,627.0,528.4
magmatic,4.92,12.57,28.28,0.15,2.32,5.28,17.69,0.07,0.28,16.0,7.75,39.0,80.54
magmatic,7.36,20.15,47.63,0.19,4.84,9.33,23.74,0.15,0.34,38.0,11.74,101.0,113.69
magmatic,19.53,80.11,150.9,2.17,23.68,31.83,67.48,2.89,3.83,157.0,34.52,198.0,324.52
magmatic,24.12,42.16,110.88,0.23,7.68,19.97,52.03,0.21,0.57,101.0,26.98,237.0,256.53
magmatic,18.28,46.34,119.13,0.31,8.77,21.07,59.15,0.23,0.68,103.0,29.39,242.0,284.14
magmatic,20.09,47.4,121.52,0.26,9.39,22.88,61.85,0.35,0.72,120.0,31.17,266.0,291.87
magmatic,32.11,95.27,215.3,0.72,20.73,42.74,97.08,0.89,2.09,209.0,50.81,367.0,478.88
magmatic,38.16,109.97,234.51,1.04,24.98,48.53,101.76,1.22,3.01,277.0,56.1,408.0,506.43
magmatic,32.02,77.21,196.27,0.48,14.51,36.01,96.66,0.57,1.29,207.0,48.48,414.0,469.23
magmatic,39.73,72.99,170.89,0.53,15.12,32.25,75.34,0.56,1.47,284.0,40.3,475.0,366.76
magmatic,50.92,256.81,541.23,3.68,62.88,112.39,221.65,3.65,7.61,505.0,125.69,691.0,1139.3
magmatic,10.42,286.86,678.96,0.61,40.77,136.31,245.07,0.62,2.97,96.0,157.1,302.0,1362.6
magmatic,35.6,101.86,221.53,0.84,23.3,45.73,92.42,0.89,2.35,200.0,49.97,311.0,457.24
magmatic,24.58,62.99,161.53,0.42,11.89,29.9,80.31,0.38,1.0,154.0,40.31,326.0,373.09
magmatic,26.93,60.18,156.13,0.33,11.02,29.07,76.52,0.35,1.0,134.0,38.8,335.0,364.94
magmatic,43.53,97.66,249.74,0.72,18.66,45.79,123.47,0.65,1.73,239.0,62.32,462.0,592.1
magmatic,41.49,146.45,314.5,1.41,37.71,62.85,132.41,2.05,4.6,441.0,73.08,572.0,668.06
magmatic,63.56,131.01,317.91,0.9,24.26,59.87,138.74,0.87,2.19,390.0,76.27,610.0,708.69
magmatic,167.97,421.89,980.3,3.84,92.42,187.15,420.53,4.85,10.29,3217.0,231.38,2922.0,2173.82
detrital,9.7,29.6,53.0,0.34,8.9,11.1,23.3,1.31,1.84,9.0,11.3,12.6,114.0
detrital,5.2,76.9,111.0,0.44,21.0,27.0,35.5,2.39,4.41,22.0,21.1,27.7,198.0
detrital,7.7,56.9,88.0,0.57,15.1,20.6,31.6,2.12,3.67,23.0,17.6,28.0,164.0
detrital,10.6,77.4,112.0,0.38,22.8,27.0,39.0,5.37,4.92,26.2,22.8,36.3,207.0
detrital,37.9,46.6,72.3,1.23,14.9,18.1,26.8,3.47,3.91,44.9,14.4,42.7,143.0
detrital,7.2,67.1,85.7,2.26,22.4,21.3,28.7,2.36,4.75,21.7,16.8,45.2,153.0
detrital,11.7,84.8,108.0,3.1,23.7,27.7,35.7,2.27,4.9,43.9,21.0,48.8,193.0
detrital,6.4,31.8,54.6,0.74,8.26,11.8,19.8,1.14,1.89,91.7,10.8,71.2,103.0
detrital,12.2,69.8,117.0,1.6,17.4,25.8,42.8,2.7,3.7,46.2,24.4,75.3,222.0
detrital,14.1,122.0,154.0,4.05,43.3,39.3,51.6,9.62,11.12,56.6,29.3,84.5,258.0
detrital,16.4,53.6,101.0,0.25,12.2,20.8,39.6,1.88,2.16,90.2,21.6,87.0,207.0
detrital,4.9,61.9,109.0,1.45,18.2,23.2,40.7,2.11,3.77,30.2,21.5,88.4,194.0
detrital,25.7,47.1,64.0,1.46,14.8,14.3,30.4,1.94,3.7,90.8,14.3,89.3,147.0
detrital,13.0,30.1,40.0,1.08,9.1,9.92,18.3,1.18,3.04,37.1,8.6,91.4,83.3
detrital,11.1,128.0,191.0,1.19,38.4,45.2,56.7,8.53,10.2,60.3,36.0,97.3,314.0
detrital,123.0,172.0,264.0,5.28,52.6,60.2,118.0,38.6,17.9,433.0,55.6,246.0,564.0
detrital,23.3,81.1,157.0,0.63,15.4,32.4,74.1,7.69,3.56,120.0,34.8,257.0,349.0
detrital,19.9,75.5,138.0,0.73,15.9,29.8,65.6,3.82,3.14,194.0,29.9,260.0,312.0
detrital,11.4,102.0,196.0,2.19,22.6,40.9,98.3,3.31,4.36,212.0,43.2,262.0,451.0
detrital,14.1,154.0,225.0,0.64,43.8,54.4,74.9,7.56,9.83,172.0,43.7,274.0,413.0
detrital,1.26,50.8,113.0,0.4,10.2,21.6,63.3,1.24,2.15,70.6,26.8,284.0,293.0
detrital,29.3,104.0,189.0,0.99,23.5,39.9,86.5,3.69,4.85,245.0,42.5,285.0,421.0
detrital,33.0,137.0,197.0,3.72,37.5,46.6,76.8,14.2,10.2,129.0,40.7,288.0,396.0
detrital,24.9,57.8,127.0,0.57,10.6,24.6,63.6,0.63,1.8,150.0,28.7,294.0,300.0
detrital,54.8,79.6,121.0,0.85,23.5,28.4,40.2,30.4,9.46,162.0,24.9,297.0,220.0
detrital,2.51,163.0,306.0,0.25,33.7,66.3,115.0,1.81,5.27,95.0,64.1,308.0,600.0
detrital,9.58,158.0,271.0,0.88,37.2,57.9,101.0,3.2,6.45,151.0,54.6,312.0,500.0
detrital,11.1,148.0,281.0,1.01,32.2,60.6,111.0,2.49,4.78,246.0,56.7,318.0,536.0
detrital,6.43,124.0,165.0,1.54,34.5,40.5,52.0,4.15,6.36,202.0,31.2,319.0,276.0
detrital,39.0,177.0,270.0,1.56,40.0,63.3,56.4,2.75,6.58,465.0,49.3,320.0,380.0
detrital,16.8,57.8,107.0,0.34,11.9,22.5,44.7,3.84,2.61,159.0,22.8,346.0,222.0
detrital,6.53,100.0,198.0,1.19,22.7,42.7,76.0,3.16,4.61,335.0,40.8,358.0,382.0
detrital,10.1,189.0,271.0,1.19,53.6,66.4,79.8,10.7,11.9,195.0,51.1,359.0,438.0
detrital,5.74,169.0,306.0,0.31,35.0,68.1,109.0,3.22,5.62,151.0,62.5,382.0,575.0
detrital,35.7,142.0,238.0,1.77,33.5,51.9,92.8,8.52,6.4,224.0,49.8,406.0,463.0
detrital,11.3,77.6,120.0,1.7,20.3,27.8,52.2,2.03,4.42,349.0,24.9,408.0,250.0
detrital,11.9,73.6,121.0,0.18,16.6,27.1,45.9,1.4,3.04,162.0,25.4,410.0,236.0
detrital,6.84,23.7,57.9,0.14,None,10.6,36.8,0.6,0.59,121.0,14.0,434.0,162.0
detrital,4.55,66.2,100.0,0.2,9.56,24.6,32.1,0.61,1.47,51.3,19.5,456.0,178.0
detrital,18.0,393.0,544.0,0.95,112.0,135.0,159.0,10.5,20.0,453.0,101.0,513.0,865.0
detrital,56.8,105.0,184.0,3.04,29.0,38.7,89.7,28.0,11.6,266.0,42.0,534.0,433.0
detrital,11.1,56.6,109.0,2.43,13.7,21.4,62.9,3.02,3.91,137.0,25.6,557.0,274.0
detrital,48.6,71.7,89.9,5.03,26.5,22.1,41.1,23.5,13.7,342.0,19.3,588.0,197.0
detrital,67.7,157.0,197.0,7.35,57.5,49.0,70.1,41.2,22.7,210.0,39.8,590.0,357.0
detrital,3.73,24.8,52.4,0.1,4.37,10.3,30.5,0.47,0.7,61.5,11.9,696.0,130.0
detrital,46.1,97.5,136.0,5.15,34.9,30.5,76.9,13.5,11.1,304.0,30.8,710.0,332.0
detrital,10.9,293.0,474.0,3.82,73.0,108.0,179.0,7.64,16.1,740.0,98.6,713.0,944.0
detrital,120.0,244.0,224.0,22.0,108.0,63.8,75.9,83.4,52.9,479.0,41.8,735.0,401.0
detrital,59.8,116.0,166.0,3.54,32.8,39.4,66.1,29.8,15.0,295.0,35.1,921.0,338.0
detrital,50.6,96.7,186.0,1.19,23.6,38.2,82.7,20.0,7.15,232.0,41.3,943.0,433.0
detrital,86.2,330.0,475.0,2.54,81.7,119.0,145.0,44.7,20.7,683.0,90.7,1216.0,811.0
detrital,39.4,293.0,500.0,1.61,72.1,110.0,176.0,12.4,16.1,1061.0,103.0,1620.0,945.0
detrital,2.01,39.1,65.2,1.51,11.0,14.8,33.1,2.01,2.73,10.0,14.3,15.3,149.0
detrital,16.9,133.0,183.0,1.98,44.6,42.6,59.7,19.4,12.2,20.1,35.8,23.3,306.0
detrital,15.4,23.4,37.5,0.33,7.05,8.35,14.9,0.84,1.36,33.3,7.98,26.9,75.1
detrital,2.97,21.6,57.2,0.47,3.49,10.4,53.0,0.92,1.05,4.7,16.0,53.7,176.0
detrital,80.2,123.0,190.0,2.69,37.8,45.4,79.0,16.6,11.3,86.6,38.8,55.1,376.0
detrital,9.36,60.1,98.5,0.74,17.7,22.2,32.5,2.48,4.38,32.9,19.3,55.3,171.0
detrital,4.19,58.7,60.3,3.25,21.3,16.4,21.3,2.04,5.95,22.9,12.3,55.8,118.0
detrital,19.5,59.2,115.0,0.62,13.1,24.3,53.1,4.66,3.11,49.5,25.5,66.4,259.0
detrital,16.4,52.3,93.2,0.6,12.0,21.3,41.0,2.01,3.73,82.2,20.1,68.8,197.0
detrital,12.4,8.72,7.9,0.61,5.06,2.38,1.86,1.21,1.96,43.7,1.51,70.4,11.9
detrital,7.17,38.7,69.2,0.9,11.1,15.8,31.4,0.88,1.93,53.5,15.2,72.1,145.0
detrital,6.58,66.7,124.0,0.84,14.5,27.3,50.3,0.88,2.52,52.1,27.2,76.7,249.0
detrital,25.8,97.1,144.0,1.93,33.0,33.9,54.3,7.33,9.35,112.0,29.4,76.7,276.0
detrital,63.8,81.8,114.0,1.98,28.5,28.6,40.5,6.24,8.61,108.0,23.0,94.3,213.0
detrital,9.13,406.0,230.0,20.3,172.0,86.1,43.1,10.2,32.3,41.6,34.2,99.0,261.0
detrital,5.44,92.3,133.0,0.27,27.6,32.4,42.8,4.11,5.57,105.0,26.2,108.0,232.0
detrital,17.3,28.0,71.1,0.6,6.12,12.7,52.8,0.9,1.5,84.2,17.8,111.0,215.0
detrital,15.3,29.9,53.8,0.25,6.82,11.3,24.6,0.87,1.2,81.7,11.6,113.0,117.0
detrital,8.41,131.0,88.1,6.71,54.2,29.9,19.3,3.72,11.5,89.7,13.9,114.0,112.0
detrital,39.9,64.3,102.0,1.16,19.9,23.5,39.1,19.6,7.37,86.2,21.1,122.0,193.0
detrital,15.0,101.0,184.0,1.2,20.1,39.5,76.9,2.49,3.62,106.0,39.2,136.0,372.0
detrital,61.1,57.8,119.0,1.09,16.4,24.2,58.5,27.3,7.13,91.6,26.2,138.0,275.0
detrital,26.3,78.7,134.0,1.05,18.8,29.2,59.7,4.58,4.0,98.5,28.4,140.0,284.0
detrital,35.2,206.0,293.0,0.29,62.1,71.5,96.2,11.2,14.7,252.0,55.8,142.0,503.0
detrital,17.2,89.9,142.0,1.3,24.0,33.2,59.5,5.16,5.77,102.0,29.5,149.0,289.0
detrital,31.9,29.6,67.7,0.35,7.5,13.0,39.6,0.93,1.55,127.0,16.3,150.0,170.0
detrital,20.4,280.0,392.0,0.42,75.6,97.4,108.0,8.69,15.1,84.5,75.2,155.0,616.0
detrital,16.1,48.7,90.1,1.43,11.9,18.6,50.1,2.36,3.23,136.0,21.1,170.0,221.0
detrital,11.7,45.6,98.7,0.75,8.86,19.3,59.6,0.95,1.41,80.3,23.5,177.0,257.0
detrital,15.2,695.0,429.0,34.6,298.0,151.0,107.0,19.9,59.2,121.0,68.9,194.0,573.0
detrital,14.6,87.3,136.0,1.08,22.1,30.5,52.5,1.73,4.46,156.0,28.8,197.0,281.0
detrital,18.0,60.9,94.8,1.73,18.2,21.0,42.4,3.81,4.23,157.0,20.5,198.0,204.0
detrital,30.0,119.0,197.0,1.11,35.9,44.1,75.5,17.2,11.1,129.0,40.6,204.0,386.0
detrital,35.6,109.0,200.0,1.39,23.9,42.8,97.6,2.1,4.18,182.0,44.8,213.0,475.0
detrital,31.6,223.0,284.0,2.26,69.5,74.4,90.8,19.9,18.1,158.0,52.6,217.0,484.0
detrital,7.15,104.0,137.0,0.67,28.8,35.2,37.1,2.94,6.29,308.0,25.2,217.0,217.0
detrital,48.6,69.5,118.0,1.92,17.6,26.1,56.6,1.86,3.2,110.0,26.7,220.0,277.0
detrital,26.0,95.8,195.0,1.21,18.9,40.4,86.2,6.23,4.32,118.0,45.1,234.0,442.0
detrital,5.53,49.6,106.0,0.45,11.6,21.2,50.1,0.86,1.95,100.0,24.6,237.0,235.0
detrital,30.5,54.5,131.0,1.16,10.4,25.3,82.0,4.65,2.81,169.0,32.7,242.0,362.0
detrital,33.0,51.7,106.0,1.06,11.0,21.6,67.0,3.32,2.44,155.0,25.9,252.0,302.0
detrital,79.3,215.0,341.0,2.95,62.3,80.2,104.0,48.0,21.3,227.0,65.3,254.0,563.0
detrital,15.2,82.6,174.0,0.57,16.0,35.0,85.4,0.98,3.06,121.0,39.9,256.0,403.0
detrital,32.1,349.0,217.0,19.3,154.0,77.5,60.8,10.6,31.1,207.0,34.7,259.0,315.0
detrital,9.57,55.3,91.8,0.13,11.7,21.6,33.1,1.24,2.26,177.0,18.9,264.0,171.0
detrital,157.0,94.5,141.0,0.79,39.5,33.2,48.6,102.0,24.6,100.0,28.3,271.0,259.0
detrital,10.7,85.7,193.0,0.55,13.0,36.4,104.0,0.93,2.96,119.0,46.7,275.0,472.0
detrital,1.99,111.0,216.0,0.22,20.7,44.5,82.5,1.29,3.72,71.2,46.6,282.0,437.0
detrital,14.9,101.0,159.0,2.6,27.3,36.6,65.6,8.13,7.35,177.0,33.1,306.0,320.0
detrital,81.2,56.2,104.0,1.7,16.5,21.8,52.7,33.8,7.4,227.0,24.2,309.0,250.0
detrital,69.2,63.8,92.4,2.81,18.9,21.3,37.2,21.3,8.26,266.0,19.1,317.0,186.0
detrital,46.6,65.6,96.0,3.69,22.3,21.6,39.2,19.5,10.3,154.0,20.1,319.0,194.0
detrital,19.1,61.4,102.0,0.25,16.5,23.3,40.6,5.67,4.56,87.5,21.6,320.0,202.0
detrital,7.71,19.0,62.2,0.37,3.08,10.0,80.3,0.58,0.77,52.6,18.5,321.0,248.0
detrital,34.9,159.0,172.0,5.14,50.6,43.7,62.1,8.08,11.7,307.0,34.4,353.0,324.0
detrital,81.2,68.6,110.0,3.25,23.4,24.8,51.4,31.6,10.5,252.0,24.8,355.0,244.0
detrital,6.26,53.8,75.6,1.33,23.1,18.0,25.2,5.52,7.14,53.0,15.3,356.0,137.0
detrital,46.7,142.0,198.0,1.8,48.2,48.9,64.1,34.9,15.9,164.0,38.9,360.0,340.0
detrital,33.6,62.2,118.0,0.29,14.2,24.4,52.3,13.2,4.99,146.0,26.2,369.0,265.0
detrital,4.52,7.81,5.99,0.33,4.2,1.69,2.93,1.14,1.09,161.0,0.99,397.0,8.65
detrital,102.0,82.1,143.0,2.43,24.8,30.6,78.4,39.8,10.0,253.0,34.1,437.0,369.0
detrital,3.06,67.9,121.0,0.32,13.4,27.2,52.7,1.19,2.16,68.8,27.2,452.0,264.0
detrital,13.8,62.2,85.7,1.56,19.2,20.0,29.2,5.51,5.21,188.0,16.9,456.0,159.0
detrital,96.2,59.7,117.0,1.27,15.0,23.7,84.8,18.7,5.14,303.0,31.0,477.0,357.0
detrital,49.9,218.0,361.0,2.33,46.0,82.8,123.0,16.0,10.5,438.0,70.9,637.0,650.0
detrital,58.0,198.0,274.0,0.53,57.7,67.7,97.1,32.1,17.3,338.0,55.1,643.0,505.0
detrital,58.3,87.9,166.0,0.82,22.8,35.0,77.6,27.2,8.99,365.0,39.0,743.0,394.0
detrital,26.4,214.0,338.0,0.36,49.4,78.9,99.1,5.82,9.74,558.0,64.9,778.0,569.0
detrital,51.3,461.0,696.0,0.41,115.0,167.0,172.0,13.3,21.6,356.0,127.0,804.0,1024.0
detrital,55.7,214.0,341.0,0.76,55.0,79.1,110.0,28.3,15.2,401.0,66.3,820.0,610.0
detrital,32.9,101.0,163.0,0.93,23.6,35.7,63.2,16.9,8.68,295.0,34.0,938.0,325.0
detrital,143.0,440.0,539.0,14.5,125.0,136.0,150.0,69.9,51.3,938.0,102.0,940.0,890.0
detrital,971.0,200.0,231.0,15.5,87.4,58.1,73.5,327.0,66.9,1502.0,44.7,1089.0,400.0
detrital,66.5,114.0,199.0,2.76,27.5,44.2,76.0,19.0,11.5,411.0,42.4,1236.0,398.0
detrital,69.2,99.2,228.0,2.77,21.4,42.4,222.0,13.6,8.54,433.0,66.9,1338.0,872.0
detrital,133.0,506.0,725.0,1.63,155.0,176.0,215.0,73.9,51.6,1167.0,142.0,1364.0,1262.0
detrital,221.0,194.0,322.0,7.4,43.9,68.8,133.0,80.1,27.2,418.0,73.0,1754.0,714.0
detrital,88.7,173.0,287.0,7.0,53.0,60.3,114.0,44.3,26.0,606.0,62.3,1771.0,593.0
detrital,62.2,159.0,223.0,5.99,38.9,53.1,95.9,26.3,17.4,695.0,48.0,2722.0,480.0
detrital,345.0,819.0,995.0,27.0,217.0,249.0,241.0,147.0,109.0,1665.0,188.0,2872.0,1542.0
detrital,64.1,290.0,580.0,3.42,47.9,119.0,218.0,19.3,13.6,879.0,128.0,3041.0,1215.0
detrital,111.0,135.0,387.0,4.58,24.7,58.2,546.0,30.2,14.0,435.0,136.0,3865.0,2017.0
detrital,13.8,42.0,65.7,0.65,10.3,13.5,26.9,1.6,2.75,31.5,11.7,56.7,126.0
detrital,4.33,79.3,136.0,0.67,15.5,31.0,48.0,1.07,2.77,22.4,35.0,62.5,392.0
detrital,14.6,168.0,247.0,1.06,50.9,60.0,81.2,8.29,13.0,74.0,51.3,62.8,459.0
detrital,11.6,236.0,370.0,0.9,68.0,89.1,124.0,9.22,14.0,116.0,72.3,69.3,620.0
detrital,16.3,105.0,134.0,0.37,25.9,33.7,38.1,4.09,7.66,105.0,32.0,87.2,334.0
detrital,21.2,187.0,343.0,1.59,31.0,72.7,133.0,1.46,3.92,111.0,81.6,95.2,799.0
detrital,13.5,95.6,174.0,0.62,20.1,38.3,68.8,2.08,4.2,102.0,37.4,97.4,349.0
detrital,11.4,291.0,408.0,1.38,82.7,103.0,122.0,11.1,16.0,200.0,81.5,99.9,716.0
detrital,27.4,67.1,125.0,0.5,10.4,25.6,54.1,1.04,2.29,106.0,33.3,113.0,373.0
detrital,8.59,173.0,266.0,1.83,41.2,63.4,88.7,6.37,8.25,117.0,55.5,120.0,485.0
detrital,7.11,50.5,63.0,0.44,15.7,16.8,22.6,2.56,3.94,56.5,16.5,121.0,164.0
detrital,2.08,124.0,196.0,0.25,27.9,46.7,60.6,2.36,3.98,119.0,39.7,126.0,341.0
detrital,3.55,173.0,268.0,0.4,35.3,62.8,82.1,2.08,8.26,84.0,58.5,128.0,539.0
detrital,7.08,105.0,214.0,0.77,20.0,45.6,86.5,1.28,4.55,101.0,48.0,136.0,435.0
detrital,5.01,123.0,192.0,0.54,26.4,47.1,57.3,1.95,5.23,97.6,44.0,142.0,404.0
detrital,12.4,197.0,322.0,0.67,46.1,74.6,96.2,4.78,8.13,146.0,64.5,147.0,550.0
detrital,19.7,112.0,221.0,0.4,20.3,46.5,84.2,1.19,5.46,145.0,55.1,159.0,524.0
detrital,103.0,142.0,226.0,1.16,44.4,53.4,83.6,66.6,20.2,148.0,47.6,163.0,417.0
detrital,33.4,133.0,274.0,1.33,27.1,56.5,127.0,2.5,4.23,94.2,64.5,171.0,632.0
detrital,5.34,205.0,320.0,1.53,48.1,77.0,100.0,3.35,7.02,123.0,70.0,173.0,634.0
detrital,15.8,390.0,586.0,0.24,83.4,142.0,153.0,5.22,13.8,164.0,112.0,174.0,909.0
detrital,10.5,120.0,174.0,1.04,33.1,41.8,52.2,5.91,8.37,209.0,37.8,174.0,351.0
detrital,69.3,118.0,198.0,0.52,32.0,44.2,69.5,52.9,14.4,84.8,43.2,176.0,393.0
detrital,25.1,130.0,207.0,0.86,38.7,48.8,80.2,9.35,8.75,164.0,44.1,176.0,403.0
detrital,49.2,189.0,314.0,1.79,48.7,71.3,114.0,34.9,13.3,180.0,66.6,181.0,594.0
detrital,94.6,112.0,186.0,3.1,33.3,42.3,70.9,45.1,12.7,276.0,42.4,189.0,386.0
detrital,24.8,115.0,220.0,1.2,22.7,44.9,87.8,3.53,4.52,232.0,59.9,199.0,654.0
detrital,1.76,17.9,16.4,0.29,10.2,4.74,5.9,1.11,3.6,39.3,3.56,225.0,32.6
detrital,56.9,279.0,419.0,0.48,71.2,102.0,127.0,28.0,17.0,250.0,82.4,227.0,714.0
detrital,25.0,214.0,368.0,3.11,56.5,83.4,142.0,6.18,9.94,307.0,82.1,230.0,764.0
detrital,54.7,218.0,398.0,1.7,50.2,85.9,165.0,14.4,9.82,455.0,87.5,230.0,829.0
detrital,69.1,167.0,245.0,0.55,44.1,58.4,78.5,31.8,13.1,257.0,57.0,235.0,536.0
